scientific_name,park_name,observations
Aster integrifolius,Great Smoky Mountains National Park,73
Draba aurea,Yellowstone National Park,242
Lasiurus blossevillii,Great Smoky Mountains National Park,70
Cirsium occidentale var. californicum,Bryce National Park,84
Taricha sierrae,Yosemite National Park,146
Achnatherum X bloomeri,Yellowstone National Park,261
Eriophyllum lanatum,Great Smoky Mountains National Park,61
Selaginella apoda,Bryce National Park,119
Sarracenia purpurea,Yosemite National Park,166
Camissonia subacaulis,Great Smoky Mountains National Park,113
Lewisia rediviva var. rediviva,Yellowstone National Park,252
Acer saccharinum,Yosemite National Park,167
Trifolium cyathiferum,Yosemite National Park,159
Hypericum perforatum,Great Smoky Mountains National Park,81
Carex nigricans,Bryce National Park,128
Gentianopsis simplex,Bryce National Park,87
Cardaria draba,Yosemite National Park,169
Oryzopsis asperifolia,Bryce National Park,126
Juncus bufonius var. bufonius,Yellowstone National Park,255
Ulota crispa,Great Smoky Mountains National Park,108
Podistera nevadensis,Yellowstone National Park,215
Coragyps atratus,Yosemite National Park,150
Mimulus angustatus,Bryce National Park,95
Tyto alba,Yellowstone National Park,235
Piptatherum exiguum,Yosemite National Park,101
Spilogale putorius,Yellowstone National Park,256
Physostegia virginiana,Yosemite National Park,183
Hieracium gronovii,Great Smoky Mountains National Park,102
Cymophyllus fraserianus,Yosemite National Park,132
Plagiomnium cuspidatum,Yellowstone National Park,252
Cynanchum laeve,Yellowstone National Park,236
Empidonax alnorum,Yellowstone National Park,228
Clarkia rhomboidea,Bryce National Park,119
Adenocaulon bicolor,Yosemite National Park,130
Claytonia virginica,Yosemite National Park,146
Peltandra virginica,Yosemite National Park,128
Malaxis unifolia,Yellowstone National Park,259
Arabis platysperma var. howellii,Yosemite National Park,135
Carex nebrascensis,Yosemite National Park,145
Luzula glabrata var. hitchcockii,Bryce National Park,143
Grindelia nana,Yellowstone National Park,236
Viburnum dentatum,Bryce National Park,97
Carex swanii,Yosemite National Park,139
Corallorrhiza trifida,Yosemite National Park,146
Lysimachia fraseri,Yellowstone National Park,238
Arabis glabra var. glabra,Great Smoky Mountains National Park,38
Trifolium hybridum,Bryce National Park,75
Saccharum alopecuroidum,Yellowstone National Park,247
Epilobium oreganum,Bryce National Park,60
Epipactis gigantea,Bryce National Park,71
Hibiscus syriacus,Yosemite National Park,159
Carduus acanthoides,Yosemite National Park,147
Streptopus lanceolatus var. lanceolatus,Bryce National Park,124
Dicranodontium asperulum,Yellowstone National Park,279
Ochotona princeps,Great Smoky Mountains National Park,82
Lonicera flava,Bryce National Park,88
Viola blanda var. palustriformis,Bryce National Park,97
Rubus leucodermis,Bryce National Park,113
Veronica americana,Bryce National Park,77
Lamium amplexicaule,Yosemite National Park,153
Bromus inermis var. inermis,Yosemite National Park,164
Galium tinctorium,Great Smoky Mountains National Park,86
Agrimonia rostellata,Yosemite National Park,148
Melica aristata,Great Smoky Mountains National Park,101
Ribes nevadense,Bryce National Park,116
Melica harfordii,Yosemite National Park,140
Bromus tectorum,Great Smoky Mountains National Park,43
Humulus lupulus,Yellowstone National Park,215
Sparganium emersum,Great Smoky Mountains National Park,75
Ctenidium molluscum,Great Smoky Mountains National Park,52
Thermopsis fraxinifolia,Great Smoky Mountains National Park,79
Cryptantha fendleri,Bryce National Park,112
Rubus alumnus,Yosemite National Park,156
Rana catesbeiana,Great Smoky Mountains National Park,88
Agrostis exarata,Bryce National Park,105
Rudbeckia californica var. californica,Bryce National Park,111
Erigeron elmeri,Yosemite National Park,105
Rubus ursinus,Bryce National Park,111
Linum virginianum,Yosemite National Park,133
Lindernia dubia var. anagallidea,Bryce National Park,129
Percina aurantiaca,Bryce National Park,95
Hedysarum alpinum var. americanum,Yellowstone National Park,239
Pogonatum pensilvanicum,Yellowstone National Park,253
Mentzelia montana,Yellowstone National Park,280
Toxicodendron diversilobum,Bryce National Park,95
Viola lanceolata,Great Smoky Mountains National Park,79
Tamias umbrinus,Great Smoky Mountains National Park,87
Pellaea glabella,Yellowstone National Park,221
Aesculus pavia,Yosemite National Park,164
Egretta thula,Great Smoky Mountains National Park,66
Aythya collaris,Yellowstone National Park,230
Commelina virginica,Yellowstone National Park,230
Poa pratensis,Great Smoky Mountains National Park,85
Ranunculus hispidus var. nitidus,Yosemite National Park,137
Eriogonum nudum var. nudum,Yellowstone National Park,248
Tridens flavus var. chapmanii,Yosemite National Park,110
Spergula arvensis,Bryce National Park,95
Gayophytum heterozygum,Yellowstone National Park,267
Aplectrum hyemale,Yellowstone National Park,240
Platygyrium repens,Yosemite National Park,197
Lamium purpureum,Great Smoky Mountains National Park,43
Artemisia douglasiana,Yosemite National Park,146
Arenaria congesta var. suffrutescens,Great Smoky Mountains National Park,76
Carex aquatilis var. aquatilis,Great Smoky Mountains National Park,91
Verbascum blattaria,Bryce National Park,95
Tringa solitaria,Yellowstone National Park,267
Juncus tenuis,Yellowstone National Park,247
Carex nervina,Yellowstone National Park,236
Leskea gracilescens,Bryce National Park,94
Aster eatonii,Yosemite National Park,167
Penstemon procerus var. formosus,Yellowstone National Park,276
Notropis photogenis,Yellowstone National Park,294
Dianthus barbatus,Bryce National Park,85
Rhynchospora glomerata,Bryce National Park,104
Allium brandegeei,Yellowstone National Park,239
Carex styloflexa,Yellowstone National Park,274
Urtica dioica,Yellowstone National Park,225
Agrostis stolonifera,Bryce National Park,101
Salix geyeriana,Great Smoky Mountains National Park,57
Gymnopogon ambiguus,Yellowstone National Park,260
Cypripedium parviflorum var. pubescens,Bryce National Park,70
Saxifraga nidifica,Great Smoky Mountains National Park,53
Angelica arguta,Bryce National Park,120
Neotoma cinerea,Bryce National Park,126
Asclepias exaltata,Yosemite National Park,150
Callitriche palustris,Bryce National Park,69
Lilium michauxii,Great Smoky Mountains National Park,73
Steerecleus serrulatus,Yellowstone National Park,291
Solidago nemoralis var. nemoralis,Bryce National Park,113
Philadelphus lewisii,Great Smoky Mountains National Park,68
Clematis viorna,Great Smoky Mountains National Park,91
Plagiobothrys stipitatus var. micranthus,Yosemite National Park,181
Erodium botrys,Bryce National Park,65
Philadelphus lewisii,Bryce National Park,95
Piptatherum exiguum,Bryce National Park,94
Delphinium polycladon,Yellowstone National Park,274
Lotus argophyllus var. fremontii,Yellowstone National Park,255
Acanthus flammea,Great Smoky Mountains National Park,68
Stylophorum diphyllum,Yellowstone National Park,244
Paronychia fastigiata,Great Smoky Mountains National Park,97
Xerophyllum asphodeloides,Yellowstone National Park,297
Opheodrys aestivus aestivus,Yosemite National Park,161
Empidonax alnorum,Great Smoky Mountains National Park,62
Agrostis stolonifera,Yosemite National Park,122
Lasiurus borealis,Yosemite National Park,134
Solidago flaccidifolia,Bryce National Park,119
Physaria acutifolia var. acutifolia,Yellowstone National Park,229
Rhus typhina,Great Smoky Mountains National Park,86
Athyrium filix-femina,Yosemite National Park,143
Seiurus aurocapilla,Yellowstone National Park,216
Callospermophilus lateralis,Great Smoky Mountains National Park,84
Elymus sierrae,Yellowstone National Park,252
Salix humilis var. tristis,Great Smoky Mountains National Park,80
Logfia arvensis,Great Smoky Mountains National Park,74
Viburnum nudum var. cassinoides,Bryce National Park,88
Amblystegium varium,Yellowstone National Park,274
Draba lemmonii var. lemmonii,Yosemite National Park,168
Oxalis dillenii,Yosemite National Park,174
Carex whitneyi,Yellowstone National Park,276
Geum rossii var. turbinatum,Bryce National Park,105
Blarina brevicauda,Great Smoky Mountains National Park,86
Pycnanthemum tenuifolium,Yellowstone National Park,252
Eupatorium rotundifolium var. rotundifolium,Great Smoky Mountains National Park,117
Isoetes engelmannii,Yosemite National Park,146
Carex appalachica,Bryce National Park,112
Hypnum pratense,Yellowstone National Park,235
Carex leavenworthii,Yellowstone National Park,244
Rudbeckia laciniata var. digitata,Bryce National Park,77
Delphinium hansenii ssp. hansenii,Yellowstone National Park,284
Tachycineta thalassina,Yellowstone National Park,243
Cirriphyllum piliferum,Great Smoky Mountains National Park,85
Rorippa palustris ssp. fernaldiana,Bryce National Park,89
Anas cyanoptera,Yosemite National Park,104
Agrostis mertensii,Great Smoky Mountains National Park,54
Triticum aestivum,Yosemite National Park,175
Potentilla recta,Yellowstone National Park,258
Thermopsis villosa,Great Smoky Mountains National Park,57
Iva annua,Yellowstone National Park,233
Erethizon dorsatum,Yellowstone National Park,219
Psaltriparus minimus,Bryce National Park,77
Wyethia helianthoides,Yellowstone National Park,295
Dryopteris cristata,Bryce National Park,105
Grimmia laevigata,Great Smoky Mountains National Park,88
Platylomella lescurii,Yellowstone National Park,293
Pseudacris triseriata,Great Smoky Mountains National Park,77
Spizella atrogularis,Yellowstone National Park,251
Polygonum erectum,Great Smoky Mountains National Park,79
Phacelia humilis var. humilis,Great Smoky Mountains National Park,48
Eragrostis spectabilis,Great Smoky Mountains National Park,67
Dryopteris cristata,Yosemite National Park,156
Agrostis capillaris,Great Smoky Mountains National Park,84
Hypochaeris radicata,Yosemite National Park,157
Dichanthelium scabriusculum,Yosemite National Park,155
Weigela florida,Yosemite National Park,146
Quercus douglasii,Bryce National Park,121
Berberis thunbergii,Great Smoky Mountains National Park,52
Viola lobata ssp. integrifolia,Yellowstone National Park,266
Lilium michauxii,Yellowstone National Park,261
Galium verum,Yosemite National Park,132
Sus scrofa,Great Smoky Mountains National Park,99
Echinochloa crus-galli,Bryce National Park,112
Comptonia peregrina,Yosemite National Park,140
Sabatia angularis,Great Smoky Mountains National Park,73
Astilbe biternata,Yosemite National Park,157
Panax quinquefolius,Great Smoky Mountains National Park,56
Cyperus flavescens,Yosemite National Park,140
Eumeces anthracinus,Yellowstone National Park,237
Mephitis mephitis,Great Smoky Mountains National Park,63
Bromus orcuttianus,Bryce National Park,92
Hieracium albiflorum,Yellowstone National Park,259
Notropis rubricroceus,Great Smoky Mountains National Park,131
Pedicularis lanceolata,Bryce National Park,126
Polystichum lonchitis,Great Smoky Mountains National Park,82
Angelica pinnata,Yellowstone National Park,248
Branta bernicla,Bryce National Park,115
Alyssum alyssoides,Great Smoky Mountains National Park,60
Mentha X gracilis,Yellowstone National Park,263
Clematis hirsutissima var. hirsutissima,Bryce National Park,127
Chelydra serpentina serpentina,Yellowstone National Park,249
Oncophorus raui,Great Smoky Mountains National Park,76
Cerastium fontanum,Yosemite National Park,194
Carex leavenworthii,Great Smoky Mountains National Park,48
Eschscholzia californica,Bryce National Park,71
Allium schoenoprasum,Yosemite National Park,143
Epilobium glaberrimum ssp. fastigiatum,Yellowstone National Park,253
Cyperus lancastriensis,Yellowstone National Park,251
Pseudotsuga menziesii var. menziesii,Bryce National Park,112
Solidago hispida,Great Smoky Mountains National Park,59
Elgaria multicarinata webbii,Bryce National Park,72
Sonchus asper,Yosemite National Park,136
Pleopeltis polypodioides,Bryce National Park,94
Arundo donax,Yellowstone National Park,239
Trifolium microcephalum,Yellowstone National Park,243
Polytrichum pallidisetum,Great Smoky Mountains National Park,87
Hutchinsia procumbens,Great Smoky Mountains National Park,66
Viola labradorica,Yosemite National Park,172
Diphyscium cumberlandianum,Yosemite National Park,123
Rosa multiflora,Great Smoky Mountains National Park,105
Juncus xiphioides,Yellowstone National Park,267
Cystopteris fragilis,Yellowstone National Park,270
Cinna latifolia,Yellowstone National Park,238
Peromyscus boylii,Bryce National Park,102
Thuja occidentalis,Yosemite National Park,141
Cistothorus platensis,Great Smoky Mountains National Park,65
Carex lanuginosa,Yosemite National Park,167
Carex aquatilis,Great Smoky Mountains National Park,86
Juncus triformis,Great Smoky Mountains National Park,66
Brassica nigra,Bryce National Park,88
Cicuta maculata,Yellowstone National Park,240
Hieracium argutum,Bryce National Park,109
Clethrionomys gapperi,Great Smoky Mountains National Park,93
Sanguisorba annua,Yellowstone National Park,237
Scapanus latimanus,Yosemite National Park,105
Cheilanthes intertexta,Bryce National Park,112
Anomodon minor,Yellowstone National Park,286
Diplazium pycnocarpon,Yosemite National Park,133
Tiarella cordifolia var. cordifolia,Great Smoky Mountains National Park,63
Carex texensis,Yellowstone National Park,221
Elymus villosus,Yellowstone National Park,272
Lilium philadelphicum,Yosemite National Park,162
Lepomis microlophus,Bryce National Park,86
Ilex montana,Bryce National Park,137
